Epoch: [3][9/35]	Loss 0.1229 (0.0902)	Acc 0.999 (0.999)
Epoch: [3][10/35]	Loss 0.0703 (0.0882)	Acc 0.999 (0.999)
Epoch: [3][11/35]	Loss 0.0513 (0.0849)	Acc 0.999 (0.999)
Epoch: [3][12/35]	Loss 0.0627 (0.0830)	Acc 1.000 (0.999)
Epoch: [3][13/35]	Loss 0.1803 (0.0905)	Acc 0.999 (0.999)
Epoch: [3][14/35]	Loss 0.0805 (0.0898)	Acc 0.999 (0.999)
Epoch: [3][15/35]	Loss 0.0841 (0.0894)	Acc 0.999 (0.999)
Epoch: [3][16/35]	Loss 0.0722 (0.0883)	Acc 0.999 (0.999)
Epoch: [3][17/35]	Loss 0.1417 (0.0915)	Acc 1.000 (0.999)
Epoch: [3][18/35]	Loss 0.0796 (0.0908)	Acc 0.999 (0.999)
Epoch: [3][19/35]	Loss 0.1113 (0.0919)	Acc 0.998 (0.999)
Epoch: [3][20/35]	Loss 0.1479 (0.0947)	Acc 0.999 (0.999)
Epoch: [3][21/35]	Loss 0.2361 (0.1014)	Acc 1.000 (0.999)
Epoch: [3][22/35]	Loss 0.1231 (0.1024)	Acc 1.000 (0.999)
Epoch: [3][23/35]	Loss 0.4582 (0.1179)	Acc 1.000 (0.999)
Epoch: [3][24/35]	Loss 0.2450 (0.1232)	Acc 0.999 (0.999)
Epoch: [3][25/35]	Loss 0.1469 (0.1241)	Acc 0.999 (0.999)
Epoch: [3][26/35]	Loss 0.1914 (0.1267)	Acc 0.999 (0.999)
Epoch: [3][27/35]	Loss 0.1873 (0.1290)	Acc 0.999 (0.999)
Epoch: [3][28/35]	Loss 0.0745 (0.1270)	Acc 0.999 (0.999)
Epoch: [3][29/35]	Loss 0.1437 (0.1276)	Acc 0.999 (0.999)
Epoch: [3][30/35]	Loss 0.1054 (0.1268)	Acc 0.999 (0.999)
Epoch: [3][31/35]	Loss 0.0790 (0.1253)	Acc 0.999 (0.999)
Epoch: [3][32/35]	Loss 0.2956 (0.1306)	Acc 0.999 (0.999)
Epoch: [3][33/35]	Loss 0.1236 (0.1304)	Acc 0.999 (0.999)
Epoch: [3][34/35]	Loss 0.0935 (0.1293)	Acc 0.999 (0.999)
Epoch: [3][35/35]	Loss 0.0074 (0.1291)	Acc 0.999 (0.999)
Validation: [3][1/12]	Loss 0.1314 (0.1314)	Acc 0.999 (0.999)
Validation: [3][2/12]	Loss 0.1799 (0.1556)	Acc 0.999 (0.999)
Validation: [3][3/12]	Loss 0.2263 (0.1792)	Acc 0.999 (0.999)
Validation: [3][4/12]	Loss 0.1700 (0.1769)	Acc 0.999 (0.999)
Validation: [3][5/12]	Loss 0.1849 (0.1785)	Acc 0.999 (0.999)
Validation: [3][6/12]	Loss 0.2806 (0.1955)	Acc 0.999 (0.999)
Validation: [3][7/12]	Loss 0.1547 (0.1897)	Acc 0.999 (0.999)
Validation: [3][8/12]	Loss 0.1027 (0.1788)	Acc 0.999 (0.999)
Validation: [3][9/12]	Loss 0.2443 (0.1861)	Acc 0.999 (0.999)
Validation: [3][10/12]	Loss 0.1840 (0.1859)	Acc 0.999 (0.999)
Validation: [3][11/12]	Loss 0.3999 (0.2053)	Acc 0.999 (0.999)
Validation: [3][12/12]	Loss 0.1861 (0.2047)	Acc 1.000 (0.999)
Epoch: [4][1/35]	Loss 0.1279 (0.1279)	Acc 0.999 (0.999)
Epoch: [4][2/35]	Loss 0.1875 (0.1577)	Acc 0.999 (0.999)
Epoch: [4][3/35]	Loss 0.0858 (0.1337)	Acc 0.999 (0.999)
Epoch: [4][4/35]	Loss 0.1756 (0.1442)	Acc 0.999 (0.999)
Epoch: [4][5/35]	Loss 0.1317 (0.1417)	Acc 0.999 (0.999)
Epoch: [4][6/35]	Loss 0.1473 (0.1426)	Acc 0.999 (0.999)
Epoch: [4][7/35]	Loss 0.0614 (0.1310)	Acc 0.999 (0.999)
Epoch: [4][8/35]	Loss 0.1900 (0.1384)	Acc 0.999 (0.999)
Epoch: [4][9/35]	Loss 0.1059 (0.1348)	Acc 0.999 (0.999)
Epoch: [4][10/35]	Loss 0.0367 (0.1250)	Acc 0.999 (0.999)
Epoch: [4][11/35]	Loss 0.0365 (0.1169)	Acc 0.999 (0.999)
Epoch: [4][12/35]	Loss 0.0906 (0.1147)	Acc 0.999 (0.999)
Epoch: [4][13/35]	Loss 0.2813 (0.1275)	Acc 0.999 (0.999)
Epoch: [4][14/35]	Loss 0.0961 (0.1253)	Acc 0.999 (0.999)
Epoch: [4][15/35]	Loss 0.1125 (0.1244)	Acc 0.999 (0.999)
Epoch: [4][16/35]	Loss 0.0604 (0.1204)	Acc 0.999 (0.999)
Epoch: [4][17/35]	Loss 0.1730 (0.1235)	Acc 1.000 (0.999)
Epoch: [4][18/35]	Loss 0.1070 (0.1226)	Acc 0.999 (0.999)
Epoch: [4][19/35]	Loss 0.0851 (0.1206)	Acc 0.998 (0.999)
Epoch: [4][20/35]	Loss 0.0868 (0.1189)	Acc 0.999 (0.999)
Epoch: [4][21/35]	Loss 0.1319 (0.1196)	Acc 0.999 (0.999)
Epoch: [4][22/35]	Loss 0.0399 (0.1159)	Acc 1.000 (0.999)
Epoch: [4][23/35]	Loss 0.1091 (0.1156)	Acc 1.000 (0.999)
Epoch: [4][24/35]	Loss 0.0649 (0.1135)	Acc 0.999 (0.999)
Epoch: [4][25/35]	Loss 0.0555 (0.1112)	Acc 0.999 (0.999)
Epoch: [4][26/35]	Loss 0.1039 (0.1109)	Acc 0.999 (0.999)
Epoch: [4][27/35]	Loss 0.1005 (0.1105)	Acc 0.999 (0.999)
Epoch: [4][28/35]	Loss 0.0547 (0.1085)	Acc 0.999 (0.999)
Epoch: [4][29/35]	Loss 0.1018 (0.1083)	Acc 0.999 (0.999)
Epoch: [4][30/35]	Loss 0.0692 (0.1070)	Acc 0.999 (0.999)
Epoch: [4][31/35]	Loss 0.0691 (0.1058)	Acc 0.999 (0.999)
Epoch: [4][32/35]	Loss 0.2003 (0.1087)	Acc 0.999 (0.999)
Epoch: [4][33/35]	Loss 0.1141 (0.1089)	Acc 0.999 (0.999)
Epoch: [4][34/35]	Loss 0.1212 (0.1093)	Acc 0.999 (0.999)
Epoch: [4][35/35]	Loss 0.0142 (0.1091)	Acc 0.998 (0.999)
Validation: [4][1/12]	Loss 0.0828 (0.0828)	Acc 0.999 (0.999)
Validation: [4][2/12]	Loss 0.1075 (0.0952)	Acc 0.999 (0.999)
Validation: [4][3/12]	Loss 0.1582 (0.1162)	Acc 0.999 (0.999)
Validation: [4][4/12]	Loss 0.1016 (0.1125)	Acc 0.999 (0.999)
Validation: [4][5/12]	Loss 0.1181 (0.1137)	Acc 0.999 (0.999)
Validation: [4][6/12]	Loss 0.1687 (0.1228)	Acc 0.999 (0.999)
Validation: [4][7/12]	Loss 0.1109 (0.1211)	Acc 0.999 (0.999)
Validation: [4][8/12]	Loss 0.0665 (0.1143)	Acc 0.999 (0.999)
Validation: [4][9/12]	Loss 0.1559 (0.1189)	Acc 0.999 (0.999)
Validation: [4][10/12]	Loss 0.1188 (0.1189)	Acc 0.999 (0.999)
Validation: [4][11/12]	Loss 0.2673 (0.1324)	Acc 0.999 (0.999)
Validation: [4][12/12]	Loss 0.1311 (0.1324)	Acc 0.999 (0.999)
Epoch: [5][1/35]	Loss 0.0748 (0.0748)	Acc 0.999 (0.999)
Epoch: [5][2/35]	Loss 0.1619 (0.1184)	Acc 0.999 (0.999)
Epoch: [5][3/35]	Loss 0.0404 (0.0924)	Acc 1.000 (0.999)
Epoch: [5][4/35]	Loss 0.0773 (0.0886)	Acc 0.999 (0.999)
Epoch: [5][5/35]	Loss 0.0639 (0.0837)	Acc 0.999 (0.999)
Epoch: [5][6/35]	Loss 0.0678 (0.0810)	Acc 0.999 (0.999)
Epoch: [5][7/35]	Loss 0.0505 (0.0767)	Acc 0.999 (0.999)
Epoch: [5][8/35]	Loss 0.1787 (0.0894)	Acc 0.999 (0.999)
Epoch: [5][9/35]	Loss 0.1468 (0.0958)	Acc 0.999 (0.999)
Epoch: [5][10/35]	Loss 0.0861 (0.0948)	Acc 0.998 (0.999)
Epoch: [5][11/35]	Loss 0.0435 (0.0902)	Acc 0.999 (0.999)
Epoch: [5][12/35]	Loss 0.0946 (0.0905)	Acc 0.999 (0.999)
Epoch: [5][13/35]	Loss 0.2180 (0.1003)	Acc 0.999 (0.999)
Epoch: [5][14/35]	Loss 0.1023 (0.1005)	Acc 0.999 (0.999)
Epoch: [5][15/35]	Loss 0.0601 (0.0978)	Acc 0.999 (0.999)
Epoch: [5][16/35]	Loss 0.0655 (0.0958)	Acc 0.999 (0.999)
Epoch: [5][17/35]	Loss 0.1331 (0.0980)	Acc 1.000 (0.999)
Epoch: [5][18/35]	Loss 0.1412 (0.1004)	Acc 1.000 (0.999)
Epoch: [5][19/35]	Loss 0.0836 (0.0995)	Acc 0.999 (0.999)
Epoch: [5][20/35]	Loss 0.0777 (0.0984)	Acc 0.999 (0.999)
Epoch: [5][21/35]	Loss 0.0707 (0.0971)	Acc 0.999 (0.999)
Epoch: [5][22/35]	Loss 0.0391 (0.0944)	Acc 1.000 (0.999)
Epoch: [5][23/35]	Loss 0.1992 (0.0990)	Acc 1.000 (0.999)
Epoch: [5][24/35]	Loss 0.0865 (0.0985)	Acc 1.000 (0.999)
Epoch: [5][25/35]	Loss 0.0441 (0.0963)	Acc 0.999 (0.999)
Epoch: [5][26/35]	Loss 0.0548 (0.0947)	Acc 0.999 (0.999)
Epoch: [5][27/35]	Loss 0.0846 (0.0943)	Acc 0.999 (0.999)
Epoch: [5][28/35]	Loss 0.0625 (0.0932)	Acc 0.999 (0.999)
Epoch: [5][29/35]	Loss 0.1150 (0.0939)	Acc 0.999 (0.999)
Epoch: [5][30/35]	Loss 0.1173 (0.0947)	Acc 0.998 (0.999)
Epoch: [5][31/35]	Loss 0.0835 (0.0944)	Acc 0.999 (0.999)
Epoch: [5][32/35]	Loss 0.1549 (0.0963)	Acc 0.999 (0.999)
Epoch: [5][33/35]	Loss 0.1338 (0.0974)	Acc 0.999 (0.999)
Epoch: [5][34/35]	Loss 0.0800 (0.0969)	Acc 0.999 (0.999)
Epoch: [5][35/35]	Loss 0.0060 (0.0967)	Acc 0.999 (0.999)
Validation: [5][1/12]	Loss 0.1522 (0.1522)	Acc 0.999 (0.999)
Validation: [5][2/12]	Loss 0.2030 (0.1776)	Acc 0.998 (0.999)
Validation: [5][3/12]	Loss 0.2056 (0.1869)	Acc 0.999 (0.999)
Validation: [5][4/12]	Loss 0.1433 (0.1760)	Acc 0.999 (0.999)
Validation: [5][5/12]	Loss 0.1846 (0.1777)	Acc 0.999 (0.999)
Validation: [5][6/12]	Loss 0.2556 (0.1907)	Acc 0.998 (0.999)
Validation: [5][7/12]	Loss 0.1658 (0.1871)	Acc 0.999 (0.999)
